1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.992449999,0.998549998,0.997083366,0.996399999,0.996699989,0.996566653,0.924000025,0.922300041,0.925300062,0.919500053,0.915700018,0.911000073
0.992399991,0.997350037,0.997200012,0.999916673,0.995316684,0.996483326,0.926500022,0.924700022,0.925000072,0.906400025,0.916900039,0.91260004
0.993366659,0.99818337,1,0.997333348,0.997933328,0.996616662,0.922900021,0.922600031,0.922600031,0.92170006,0.915800035,0.910900056
0.993483365,0.997233331,0.998400033,0.996716678,0.996416688,0.995583355,0.925600052,0.923900068,0.927100062,0.919100046,0.911900043,0.908100069
0.993250012,0.998149991,0.996933341,0.99665004,0.996933341,0.996633351,0.923400044,0.924800038,0.926800072,0.918000042,0.910000026,0.909400046
0.995000005,0.998233318,0.997550011,0.999183357,0.996016681,0.996816695,0.91900003,0.924200058,0.920700073,0.876000047,0.914100051,0.905900061
0.994316697,0.998149991,0.999949992,0.998233318,0.99998337,0.997550011,0.924200058,0.922900021,0.925900042,0.918900073,0.916900039,0.905000031
0.99454999,0.998116672,0.997116685,0.997650027,0.996766686,0.995416701,0.925100029,0.924600065,0.922400057,0.920400023,0.916000068,0.910100043
0.994766653,0.998533368,0.997416675,0.998083353,1,0.996766686,0.922600031,0.924200058,0.920300066,0.914300025,0.918500066,0.911600053
0.993983328,0.998099983,0.999016702,0.996483326,0.996749997,0.996883333,0.922800064,0.923700035,0.906800032,0.918400049,0.916500032,0.911300063
0.994800031,0.998266697,0.999533355,0.998616695,0.996383369,0.997749984,0.923700035,0.922700047,0.925700068,0.911200047,0.916400015,0.91050005
0.996183336,0.998300016,0.997416675,0.998433352,0.998833358,0.996900022,0.92170006,0.922700047,0.926000059,0.893000066,0.914000034,0.912900031
0.995183349,0.998066664,0.998149991,0.996550024,0.996866703,0.996016681,0.922000051,0.922400057,0.922300041,0.917300045,0.911600053,0.912200034
0.995933354,0.998916686,0.996483326,0.998283327,0.99998337,0.996833324,0.924300015,0.923100054,0.924900055,0.91960007,0.916700065,0.911900043
0.996016681,0.998866677,1,0.999100029,0.996083319,0.998516679,0.92170006,0.923000038,0.926700056,0.919700027,0.913500071,0.913200021
0.997316658,0.9975667,0.998250008,0.998033345,0.997933328,0.997950017,0.91140002,0.920400023,0.925900042,0.917500019,0.913900018,0.912100017
0.995933354,1,0.99696666,0.998566687,0.996983349,0.995999992,0.910600066,0.923000038,0.925000072,0.918000042,0.915100038,0.911800027
0.99666667,0.998683333,1,0.997099996,0.997950017,0.998133361,0.914500058,0.924400032,0.924900055,0.919400036,0.914600015,0.909900069
0.994933367,0.998116672,0.99849999,0.999949992,0.996466696,0.997449994,0.920400023,0.923200071,0.927000046,0.922400057,0.914000034,0.908000052
0.99818337,0.998066664,0.99788332,0.997083366,1,0.998366654,0.924200058,0.919800043,0.924300015,0.919800043,0.906600058,0.91110003
0.995633364,0.998716652,1,1,0.994516671,0.997733355,0.920600057,0.916800022,0.926300049,0.92140007,0.913400054,0.911000073
0.997916698,0.998583317,0.996683359,0.997366667,0.997950017,0.997200012,0.924600065,0.917200029,0.924500048,0.917300045,0.914100051,0.911600053
0.995916665,0.99998337,1,0.999933362,0.997550011,0.996733367,0.923500061,0.924700022,0.927500069,0.920600057,0.913900018,0.91050005
0.997666657,0.997833371,0.997716665,0.997799993,0.997633338,0.997466683,0.919100046,0.922800064,0.924600065,0.920600057,0.912200034,0.909900069
0.99603337,0.998199999,1,0.998516679,0.999966681,0.998516679,0.925800025,0.921300054,0.928300023,0.91960007,0.914800048,0.905000031
0.996316671,0.99998337,0.99726665,0.997366667,0.997383356,0.996399999,0.923100054,0.923800051,0.923500061,0.919700027,0.914800048,0.91230005
0.99695003,0.997850001,1,0.999500036,0.996833324,0.997166693,0.916500032,0.92170006,0.926200032,0.878900051,0.915400028,0.905200064
0.997650027,1,0.997533321,0.997850001,0.998033345,0.997916698,0.923900068,0.923100054,0.923300028,0.92080003,0.912400067,0.913500071
0.997783363,0.998116672,1,0.997500002,0.99998337,0.996266663,0.925200045,0.922500014,0.926400065,0.918900073,0.915100038,0.906100035
0.996250033,0.997716665,1,1,0.996250033,0.999800026,0.922100067,0.917600036,0.927500069,0.921000063,0.910400033,0.91260004
0.99849999,1,0.997333348,0.997366667,0.999916673,0.997500002,0.925200045,0.92170006,0.927000046,0.915500045,0.914500058,0.909600019
0.998133361,0.997833371,1,0.999883354,0.99666667,0.999949992,0.923700035,0.919700027,0.927600026,0.922400057,0.911300063,0.913500071
0.996433318,0.99998337,1,0.998000026,0.999866664,0.996299982,0.924300015,0.921900034,0.928300023,0.916200042,0.913800061,0.913400054
0.997616649,0.998300016,0.998116672,0.997666657,0.996883333,0.997833371,0.925700068,0.921900034,0.927400053,0.918800056,0.915700018,0.91140002
0.998000026,1,1,0.99998337,1,0.999949992,0.924500048,0.923500061,0.928200066,0.922800064,0.916100025,0.914300025
0.998266697,0.998199999,0.996916652,0.997516692,0.996450007,0.996766686,0.924600065,0.920900047,0.925700068,0.918100059,0.91170007,0.913700044
0.998300016,1,1,0.999949992,0.999883354,0.997816682,0.921500027,0.924500048,0.926800072,0.920900047,0.916200042,0.887400031
0.995816648,0.998666704,1,1,0.996766686,0.998716652,0.924300015,0.923100054,0.927600026,0.921300054,0.916800022,0.911600053
0.997716665,1,0.997300029,0.997166693,0.998700023,0.997316658,0.922400057,0.922900021,0.921800017,0.918800056,0.913700044,0.909100056
0.997916698,0.99758333,0.999966681,0.99998337,0.998549998,0.997200012,0.924100041,0.918300033,0.926600039,0.920700073,0.915800035,0.91110003
0.99816668,0.99998337,0.99728334,0.997650027,0.998333335,0.99848336,0.925100029,0.923200071,0.923600018,0.918900073,0.91200006,0.91050005
0.998383343,1,1,0.999333322,0.997300029,0.998833358,0.925300062,0.924100041,0.925300062,0.92020005,0.914900064,0.87680006
0.997016668,0.997700036,0.997766674,0.998050034,0.999599993,0.999150038,0.923900068,0.919700027,0.920600057,0.917900026,0.889100015,0.910600066
0.998316705,1,0.999966681,0.998700023,0.997449994,0.99816668,0.921500027,0.92170006,0.925800025,0.916900039,0.910900056,0.909300029
