,IYT NODROP,IYT CONV10,IYT MAX10,IYT FLAT10,IYT DENSE10,,IYT CONV20,IYT MAX20,IYT FLAT20,IYT DENSE20,,IYT CONV30,IYT MAX30,IYT FLAT30,IYT DENSE30,,IYT CONV50,IYT MAX50,IYT FLAT50,IYT DENSE50
27,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.308773611,3.308702876
28,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
29,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
30,,3.316852924,3.316852924,3.316852924,3.316852924,,3.308635447,3.316852924,3.316852924,3.316852924,,3.316852924,3.308622332,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
31,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.308635447,3.316852924,,3.316852924,3.316852924,3.316852924,3.308847993
32,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.308788184,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
33,,3.308662041,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308992385,,3.316852924,3.316852924,3.316852924,3.316852924
34,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308788184,,3.316852924,3.316852924,3.316852924,3.316852924
35,,3.316852924,3.316852924,3.308675525,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
36,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.295050329,3.316852924
37,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.308788184
38,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
39,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
40,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.308992385,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
41,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
42,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924,,3.316852924,3.316852924,3.316852924,3.316852924
