,IXT NODROP,IXT CONV10,IXT MAX10,IXT FLAT10,IXT DENSE10,,IXT CONV20,IXT MAX20,IXT FLAT20,IXT DENSE20,,IXT CONV30,IXT MAX30,IXT FLAT30,IXT DENSE30,,IXT CONV50,IXT MAX50,IXT FLAT50,IXT DENSE50
28,,3.305750077,3.313647959,3.313604893,3.313244804,,3.316810942,3.318083484,3.31973174,3.31070124,,3.317599018,3.317826376,3.319499457,3.31070124,,3.316389312,3.31456639,3.318739265,3.309089539
29,,3.317884398,3.313808914,3.317941785,3.315604672,,3.313337288,3.304075337,3.316705365,3.317672667,,3.319513273,3.31800661,3.317759581,3.317672667,,3.316388886,3.311205595,3.318504396,3.30813199
30,,3.317637355,3.314630073,3.319185467,3.318366203,,3.313739757,3.316432724,3.319347552,3.303656979,,3.318445493,3.313033293,3.316866647,3.303656979,,3.317779731,3.312823972,3.317287701,3.316362099
31,,3.315938205,3.315693164,3.317511541,3.316314075,,3.317432802,3.316480883,3.317627124,3.315644895,,3.311258026,3.319099768,3.31792559,3.315644895,,3.317654012,3.31533493,3.316296509,3.318983178
32,,3.315576385,3.319059105,3.314088164,3.313847963,,3.318501262,3.316129637,3.318819779,3.316312654,,3.318693917,3.318778761,3.316500719,3.316312654,,3.314694611,3.314796291,3.317382636,3.312675369
33,,3.315983945,3.311965916,3.311018861,3.307883101,,3.317159161,3.319147092,3.318919289,3.312685473,,3.319085624,3.318388392,3.318941073,3.312685473,,3.318789225,3.318327302,3.318784835,3.317877888
34,,3.316136239,3.318229538,3.315008457,3.317615414,,3.317178493,3.316572779,3.314690907,3.315150535,,3.318627256,3.317453855,3.318079094,3.315150535,,3.313601529,3.316247275,3.317963644,3.317261633
35,,3.316546133,3.317900285,3.316961718,3.316969362,,3.316487814,3.317425741,3.317536774,3.31806885,,3.31638196,3.318736854,3.317598072,3.31806885,,3.318089852,3.315380171,3.318168259,3.315797196
36,,3.316700074,3.317573495,3.316312527,3.317042394,,3.317476903,3.314733027,3.317621164,3.31597081,,3.316456647,3.313608401,3.317553661,3.31597081,,3.318127543,3.314547626,3.316186048,3.317551063
37,,3.315903612,3.316071553,3.317007311,3.317273174,,3.317069752,3.316410672,3.317207204,3.318615845,,3.315791722,3.316049852,3.317273174,3.318615845,,3.316570659,3.318986233,3.317825725,3.305548584
