,IYT NODROP,IYT CONV10,IYT MAX10,IYT FLAT10,IYT DENSE10,,IYT CONV20,IYT MAX20,IYT FLAT20,IYT DENSE20,,IYT CONV30,IYT MAX30,IYT FLAT30,IYT DENSE30,,IYT CONV50,IYT MAX50,IYT FLAT50,IYT DENSE50
67,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.273609161
68,,3.316841437,3.308747697,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.229888592
69,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300853798,,3.316841437,3.316841437,3.316841437,3.300853798,,3.316841437,3.316841437,3.316841437,3.302215353
70,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.30888305
71,,3.316841437,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.261944938
72,,3.308705261,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.289267459,,3.316841437,3.316841437,3.316841437,3.289267459,,3.316841437,3.316841437,3.316841437,3.316841437
73,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.30888305,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
74,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.308747697,,3.30888305,3.316841437,3.316841437,3.286929815
75,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300989151
76,,3.316841437,3.316841437,3.316841437,3.30888305,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.28109525
77,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.26246912
78,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308534561,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.295078859
79,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.280079728
80,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.30888305,3.316841437,3.316841437,3.289486112
81,,3.316841437,3.316841437,3.316841437,3.308705261,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.294391424
82,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.308733412,3.316841437,,3.316841437,3.316841437,3.316841437,3.266144682
83,,3.316841437,3.297536131,3.316841437,3.316841437,,3.316841437,3.316841437,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300640662
84,,3.30888305,3.308534561,3.308747697,3.316841437,,3.316841437,3.316841437,3.316841437,3.302639672,,3.316841437,3.316841437,3.316841437,3.302639672,,3.308836507,3.316841437,3.316841437,3.288744908
85,,3.316841437,3.316841437,3.300728482,3.316841437,,3.316841437,3.316841437,3.316841437,3.30052963,,3.316841437,3.316841437,3.316841437,3.30052963,,3.316841437,3.316841437,3.316841437,3.316841437
86,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.294634741,,3.316841437,3.316841437,3.316841437,3.294634741,,3.316841437,3.316841437,3.316841437,3.300878119
87,,3.30044082,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.308747697,,3.316841437,3.316841437,3.316841437,3.30888305
88,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300989151
89,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
90,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437
91,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.30090898
92,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.300878119
93,,3.316841437,3.316841437,3.316841437,3.293168209,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308836507
94,,3.316841437,3.316841437,3.316841437,3.30888305,,3.316841437,3.308733412,3.308733412,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.296638807
95,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308947539,,3.316841437,3.316841437,3.316841437,3.308947539,,3.316841437,3.316841437,3.316841437,3.254037508
96,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308705261
97,,3.316841437,3.316841437,3.316841437,3.316841437,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.308534561,,3.316841437,3.316841437,3.316841437,3.316841437
