1 Conv. Training,2 Conv. Training,3 Conv. Training,4 Conv. Training,5 Conv. Training,6 Conv. Training,1 Conv. Validation,2 Conv. Validation,3 Conv. Validation,4 Conv. Validation,5 Conv. Validation,6 Conv. Validation
0.013894252,0.000160629,0.016508851,0.007768823,0.016865036,0.017341306,0.510846317,0.564947188,0.51589936,0.617078841,0.644322634,0.570825934
0.012192006,0.00520814,0.000116096,0.011420559,0.007202514,0.008372201,0.462405056,0.56119287,0.61989212,0.544861734,0.653008699,0.655566752
0.017834637,0.009261826,0.006389086,0.000184114,0.01771271,0.010317423,0.397299111,0.542416215,0.611815512,0.690096855,0.57120806,0.705894232
0.007630164,0.007459663,0.01040518,0.018648142,0.000270679,0.006911677,0.420378298,0.536224246,0.567016959,0.607566655,0.739857137,0.773557842
0.014268988,0.004843209,7.40E-05,1.11E-04,0.0223988,0.008243765,0.412698507,0.530573964,0.651896,0.722543001,0.571941972,0.777090728
0.009582316,0.004394626,0.017719634,0.018840708,0.006986188,0.01240093,0.428842306,0.569771051,0.568944037,0.577616751,0.628588855,0.724447787
0.014312249,0.000248672,3.54E-05,3.63E-04,0.010288157,0.014616381,0.416152447,0.600112975,0.667031109,0.666314602,0.650365174,0.708249331
0.008613634,0.010356871,0.011568998,0.008968144,0.010083062,0.009456699,0.488605291,0.562646031,0.593957961,0.720602453,0.607510746,0.656041205
0.014432885,0.007838274,3.19E-05,8.02E-03,0.000246303,0.006221403,0.428722084,0.531212628,0.675359964,0.684611201,0.772796929,0.712428272
0.013942086,0.000195867,0.01769438,0.011016301,0.014511582,0.01589404,0.42351681,0.589479625,0.556298316,0.559779644,0.722266734,0.607866526
0.010370043,0.011690943,0.000103885,0.002470581,0.013307856,0.013683695,0.433851987,0.546126664,0.655266523,1.054788709,0.560627043,0.547190189
0.009846841,5.60959E-05,0.014334055,0.008128676,0.008535088,0.00766855,0.436471641,0.631462455,0.587028742,0.68798399,0.626304746,0.654872537
0.007392208,0.010720049,0.000104891,0.013085469,0.000228687,0.016455619,0.437569469,0.579750657,0.662380219,0.572768509,0.787711859,0.519606054
0.013591961,0.012345744,5.27E-06,1.85E-04,0.021419315,0.000964982,0.425668865,0.565218329,0.772607923,0.70257163,0.665883958,0.769050777
0.006387989,0.000114305,0.014322603,0.013177807,0.000644956,0.011189286,0.442757487,0.618125319,0.614567101,0.76436311,0.808329165,0.741586864
0.007513068,0.012472983,1.77E-05,6.31E-04,0.017172692,0.000167771,0.472534239,0.591118395,0.691127598,0.747180283,0.662478507,0.873330534
0.014604192,0.000130854,2.04E-06,1.32E-02,0.00046693,0.015638663,0.45569554,0.637382329,0.814483523,0.61156863,0.809507191,0.783807099
0.009346088,0.008870789,0.00953121,0.008466535,0.013793726,0.010860915,0.459078431,0.595465302,0.667047799,0.58764863,0.708336711,0.697111607
0.007821067,3.59143E-05,5.90E-06,1.12E-04,5.3053E-05,0.000309261,0.469415307,0.656629026,0.752879679,0.709107757,0.851965368,0.896545351
0.00748666,0.008005425,0.019799303,0.027079357,0.021513095,0.015188741,0.486316472,0.62100035,0.614661753,0.59691143,0.676882088,0.686209142
0.007426985,4.29772E-05,2.20E-05,3.17E-04,0.000527031,0.013901226,0.515613556,0.667514503,0.695001662,0.704472125,0.823124945,0.654569626
0.019541172,0.007823291,2.14E-06,7.55E-06,0.019267257,0.00440608,0.467229128,0.656714559,0.80786252,0.796633363,0.709094524,0.786051393
0.010706306,2.7425E-05,0.019147547,0.018155407,0.005019772,0.013326761,0.476356894,0.690963745,0.631077409,0.675487995,0.703263044,0.711402893
0.007254526,0.015365155,0.000127246,0.000144914,0.006423869,0.011674603,0.484913439,0.65586555,0.743719459,0.763346612,0.701069236,0.63284874
0.008081929,0.00013924,0.014816342,0.010505268,0.00639143,0.007425383,0.481546998,0.676562548,0.665677786,0.617427349,0.715156734,0.707333386
0.006455355,7.58638E-06,1.73E-05,3.61E-03,0.014080788,0.005299868,0.492241919,0.730597854,0.745775998,0.653988779,0.672948718,1.003105283
0.013041066,0.019275928,0.013388752,0.007480889,0.001228892,0.00345405,0.485992402,0.63822186,0.637131989,0.618057072,1.105047584,0.895401716
0.006897437,3.01716E-05,0.00016584,0.004543629,0.010343658,0.005833368,0.473296404,0.676252842,0.704031229,0.647050619,0.730217159,0.896118999
0.011378001,0.011778632,3.73E-06,2.91E-03,0.008934813,0.013968844,0.504635692,0.695299208,0.805378735,0.721409142,0.674837947,0.588830054
0.000594172,0.000251204,0.005278098,0.008093062,0.003801876,0.000435632,0.526293337,0.702933192,0.692762971,0.6734671,0.72481668,0.829013705
0.010450051,6.82109E-06,0.015418735,0.005308358,0.006333428,0.013576077,0.526821017,0.753355086,0.586993039,0.693455338,0.709701419,0.709236503
0.011441833,0.008368422,0.000254432,1.57354E-05,0.006791461,0.006160581,0.531108379,0.713138044,0.687428832,0.810542166,0.645902157,0.713408411
0.006002042,3.04799E-05,0.014406692,0.018265499,0.008266193,8.59307E-05,0.534393907,0.742197096,0.710704446,0.657936394,0.669224381,0.892625511
0.014600002,0.009399624,0.000661599,0.003067843,0.000282942,0.020972125,0.516190529,0.669001222,0.746829391,0.711720228,0.824311852,0.721918762
0.009514474,2.24983E-05,0.020711618,0.000370281,0.010609343,7.93678E-05,0.523039699,0.71121186,0.643976986,0.828961372,0.749548912,0.868978262
0.010488288,0.007682675,0.000261104,0.009831053,0.010020854,0.008637589,0.526013732,0.680188537,0.69166851,0.701030016,0.734974861,0.866913438
0.005290753,4.00559E-05,6.11E-06,2.49E-05,0.009683445,0.010587513,0.527622283,0.70701611,0.776837945,0.819696605,0.727339625,0.744871855
0.007735253,0.013351192,7.05E-07,5.39E-03,5.64952E-05,0.007511289,0.530779958,0.657976329,0.886785388,0.764811397,0.883967519,0.751647174
0.007766304,0.005908498,0.012313275,1.0707E-05,0.021343265,0.002197368,0.526232779,0.640695155,0.845455885,0.847655535,0.731683612,0.978125215
0.010442395,4.62904E-05,0.002240332,7.6717E-07,0.003379296,0.002649736,0.523000121,0.819542706,0.81366694,0.968640268,0.807225049,0.845161736
0.00780326,0.011730172,0.01455319,0.009145888,0.006703622,0.008694755,0.520971954,0.657138169,0.706132054,0.841047108,0.746871114,0.810297549
0.007948644,0.002099401,8.99E-05,5.58E-03,0.006718535,0.006172406,0.525280595,0.662805796,0.782013297,0.737957299,0.718898654,0.79235065
0.005529099,0.00745085,2.64E-06,1.29E-05,0.009132185,0.011984139,0.519422948,0.71187371,0.875612557,0.848584533,0.62953639,0.693928242
0.010770212,0.000292638,3.06E-07,1.75E-02,0.000153676,0.001763606,0.529681504,0.708403587,0.960806668,0.660393596,0.839336872,0.984897137
